,id,name
0,AFG,Афганистан
1,AGO,Ангола
2,ALB,Албания
3,AND,Андорра
4,ARE,ОАЭ
5,ARG,Аргентина
6,ARM,Армения
7,AUS,Австралия
8,AUT,Австрия
9,AZE,Азербайджан
10,BDI,Бурунди
11,BEL,Бельгия
12,BEN,Бенин
13,BFA,Буркина-Фасо
14,BGD,Бангладеш
15,BGR,Болгария
16,BIH,Босния И Герцеговина
17,BLR,Беларусь
18,BOL,Боливия
19,BRA,Бразилия
20,BRN,Бруней
21,BTN,Бутан
22,BWA,Ботсвана
23,CAF,Центр.Афр.Респуб.
24,CAN,Канада
25,CHE,Швейцария
26,CHL,Чили
27,CHN,КНР
28,CIV,Кот Д'Ивуар
29,CMR,Камерун
30,COD,Конго (Киншаса)
31,COG,Конго
32,COL,Колумбия
33,CRI,Коста-Рика
34,CYP,Кипр
35,CZE,Чешская Республика
36,DEU,Германия
37,DJI,Джибути
38,DNK,Дания
39,DZA,Алжир
40,ECU,Эквадор
41,EGY,Египет
42,ERI,Эритрея
43,ESP,Испания
44,EST,Эстония
45,ETH,Эфиопия
46,FIN,Финляндия
47,FRA,Франция
48,GAB,Габон
49,GBR,Великобритания
50,GEO,Грузия
51,GHA,Гана
52,GIN,Гвинея
53,GMB,Гамбия
54,GNQ,Экватор. Гвинея
55,GRC,Греция
56,GTM,Гватемала
57,HND,Гондурас
58,HRV,Хорватия
59,HUN,Венгрия
60,IDN,Индонезия
61,IND,Индия
62,IRL,Ирландия
63,IRN,Иран
64,IRQ,Ирак
65,ISL,Исландия
66,ISR,Израиль
67,ITA,Италия
68,JOR,Иордания
69,JPN,Япония
70,KAZ,Казахстан
71,KEN,Кения
72,KGZ,Кыргызстан
73,KHM,Камбоджа
74,KOR,"Корея, Республика"
75,KWT,Кувейт
76,LAO,Лаос
77,LBN,Ливан
78,LBR,Либерия
79,LBY,Ливия
80,LIE,Лихтенштейн
81,LKA,Шри-Ланка
82,LSO,Лесото
83,LTU,Литва
84,LUX,Люксембург
85,LVA,Латвия
86,MAR,Марокко
87,MCO,Монако
88,MDA,"Молдова, Республика"
89,MDG,Мадагаскар
90,MEX,Мексика
91,MKD,Северная Македония
92,MLI,Мали
93,MLT,Мальта
94,MMR,Мьянма
95,MNE,Черногория
96,MNG,Монголия
97,MOZ,Мозамбик
98,MRT,Мавритания
99,MWI,Малави
100,MYS,Малайзия
101,NAM,Намибия
102,NER,Нигер
103,NGA,Нигерия
104,NIC,Никарагуа
105,NLD,Нидерланды
106,NOR,Норвегия
107,NPL,Непал
108,NZL,Новая Зеландия
109,OMN,Оман
110,PAK,Пакистан
111,PAN,Панама
112,PER,Перу
113,PHL,Филиппины
114,POL,Польша
115,PRK,Корея (КНДР)
116,PRT,Португалия
117,PRY,Парагвай
118,QAT,Катар
119,ROU,Румыния
120,RUS,Россия
121,RWA,Руанда
122,SAU,Саудовская Аравия
123,SDN,Судан
124,SEN,Сенегал
125,SGP,Сингапур
126,SLE,Сьерра-Леоне
127,SLV,Эль-Сальвадор
128,SMR,Сан-Марино
129,SOM,Сомали
130,SRB,Сербия
131,SSD,Южный Судан
132,SVK,Словакия
133,SVN,Словения
134,SWE,Швеция
135,SWZ,Свазиленд
136,SYR,Сирия
137,TCD,Чад
138,TGO,Того
139,THA,Таиланд
140,TJK,Таджикистан
141,TKM,Туркменистан
142,TUN,Тунис
143,TUR,Турция
144,TZA,Танзания
145,UGA,Уганда
146,UKR,Украина
147,URY,Уругвай
148,USA,США
149,UZB,Узбекистан
150,VEN,Венесуэла
151,VNM,Вьетнам
152,YEM,Йеменская Арабская Республика
153,ZAF,Южно-Африканская Республика
154,ZMB,Замбия
155,ZWE,Зимбабве
